user_index,tsne_1,tsne_2,cluster
264803,-41.02101,48.973305,2
62097,66.03241,-14.668475,1
145168,19.175798,-83.54559,1
60901,21.833094,-13.460111,1
149233,48.02645,-10.473827,1
7247,70.099495,66.402824,3
102330,12.8978405,24.999113,1
215115,-38.39407,-7.8147907,1
89836,41.217903,-50.40584,1
230751,-76.91387,23.521334,2
76099,64.634224,-32.26211,1
43717,101.31987,-10.707224,3
53576,36.166782,12.101689,1
39980,106.91081,20.041523,3
32183,110.283745,13.817205,3
72528,37.94549,10.282995,1
180188,-35.80095,-45.530586,2
253460,-99.2659,-37.671032,2
55096,71.33618,-5.497952,3
26317,105.54956,41.552048,3
180689,-26.18872,-66.744,1
201176,-39.680378,-25.661276,2
216264,-22.74013,49.425304,2
74558,18.843935,-13.305507,1
17519,58.936234,40.171085,3
105632,74.03381,-25.481577,1
186147,-18.304071,20.217625,2
135074,5.786632,-14.492445,1
186197,-6.399179,-66.96724,1
296135,-102.38988,46.897278,2
42113,45.22078,14.570338,3
74292,14.723325,-0.30182344,1
297136,-96.45854,71.08685,2
226559,-80.14398,-10.388585,2
48469,79.52994,7.8967175,3
183022,-20.825077,-5.147807,2
153800,-32.358246,-14.265609,2
315145,-22.848148,-127.93596,2
313310,-90.48024,-70.07301,2
203921,-46.84924,56.712727,2
121074,8.329606,71.10855,1
106744,31.47102,93.229004,4
228970,-33.18905,69.304756,2
138350,12.251174,29.219694,1
219674,-31.084412,51.057312,2
123556,67.61543,-77.08977,1
4484,84.81087,55.35546,3
233086,-37.363445,70.10759,2
119891,63.100246,-80.38945,1
185315,-31.836267,-40.24889,2
95777,91.93448,-59.162518,1
43063,35.857956,24.329437,3
275784,-23.33301,104.24545,2
238163,-39.568092,23.329426,2
31958,63.53635,57.261845,3
76736,93.65332,-7.8362966,3
97510,62.08452,-81.473946,1
60028,31.445059,78.1607,4
164638,-18.85136,-15.1391325,1
75145,111.046326,-8.458715,3
136113,-3.0399308,-41.35478,1
281912,-95.68057,70.88832,2
264366,-74.78253,-48.14825,2
258526,-17.098467,85.79185,2
83279,21.622158,-15.044899,1
49864,103.778,2.3843193,3
